time, x, y, theta, xVelocity, yVelocity, thetaVelocity
0.000, 63.233, 0.362, 4.196, 0.000, 0.000, 0.000,
0.312, 61.062, -0.872, 4.033, -6.950, -3.950, -0.519,
1.663, 59.119, -2.440, 3.906, -1.438, -1.161, -0.094,
1.701, 57.391, -4.243, 3.808, -45.838, -47.822, -2.599,
1.739, 55.847, -6.207, 3.733, -40.530, -51.557, -1.973,
1.778, 54.454, -8.283, 3.672, -36.175, -53.905, -1.563,
1.817, 53.188, -10.439, 3.622, -32.533, -55.412, -1.308,
1.856, 52.034, -12.656, 3.587, -29.366, -56.408, -0.873,
1.896, 50.956, -14.912, 3.561, -27.128, -56.784, -0.672,
1.936, 49.939, -17.195, 3.539, -25.333, -56.884, -0.539,
1.976, 48.972, -19.500, 3.520, -23.839, -56.809, -0.470,
2.017, 48.049, -21.824, 3.503, -22.507, -56.637, -0.400,
2.059, 47.164, -24.162, 3.495, -21.341, -56.380, -0.202,
2.101, 46.298, -26.507, 3.489, -20.639, -55.935, -0.152,
2.143, 45.448, -28.858, 3.484, -20.056, -55.443, -0.115,
2.186, 44.609, -31.213, 3.483, -19.543, -54.859, -0.012,
2.230, 43.771, -33.569, 3.486, -19.253, -54.130, 0.058,
2.274, 42.928, -35.922, 3.490, -19.126, -53.343, 0.102,
2.319, 42.073, -38.271, 3.499, -19.097, -52.520, 0.192,
2.364, 41.199, -40.613, 3.515, -19.272, -51.620, 0.357,
2.410, 40.287, -42.941, 3.533, -19.820, -50.572, 0.387,
2.457, 39.333, -45.252, 3.557, -20.418, -49.486, 0.512,
2.504, 38.325, -47.539, 3.589, -21.279, -48.266, 0.677,
2.552, 37.244, -49.793, 3.633, -22.477, -46.852, 0.918,
2.601, 36.064, -51.996, 3.695, -24.154, -45.123, 1.261,
2.651, 34.752, -54.122, 3.782, -26.472, -42.884, 1.767,
2.701, 33.259, -56.125, 3.908, -29.655, -39.775, 2.492,
2.752, 31.529, -57.923, 4.085, -33.855, -35.187, 3.468,
2.804, 29.512, -59.385, 4.330, -38.892, -28.209, 4.726,
2.856, 27.204, -60.314, 4.667, -43.847, -17.637, 6.408,
2.910, 24.720, -60.426, 4.934, -46.430, -2.097, 4.982,
2.964, 22.294, -59.880, 5.143, -44.578, 10.034, 3.840,
3.020, 20.030, -58.841, 5.290, -40.815, 18.736, 2.660,
3.076, 17.941, -57.478, 5.378, -36.959, 24.106, 1.559,
3.134, 15.977, -55.934, 5.428, -34.077, 26.781, 0.864,
4.310, 14.091, -54.294, 5.413, -1.604, 1.395, -0.013,
5.226, 12.180, -52.682, 5.388, -2.085, 1.758, -0.028,
5.933, 10.228, -51.120, 5.358, -2.761, 2.211, -0.042,
6.488, 8.231, -49.615, 5.323, -3.595, 2.708, -0.063,
6.945, 6.183, -48.182, 5.293, -4.487, 3.139, -0.066,
7.335, 4.093, -46.812, 5.260, -5.366, 3.517, -0.082,
7.672, 1.959, -45.510, 5.226, -6.322, 3.859, -0.101,
7.969, -0.217, -44.281, 5.191, -7.340, 4.145, -0.119,
8.233, -2.436, -43.129, 5.155, -8.405, 4.364, -0.138,
8.470, -4.694, -42.058, 5.118, -9.497, 4.501, -0.156,
8.687, -6.991, -41.072, 5.080, -10.597, 4.548, -0.174,
8.887, -9.324, -40.174, 5.042, -11.682, 4.501, -0.189,
9.073, -11.689, -39.363, 5.005, -12.730, 4.361, -0.202,
9.247, -14.082, -38.643, 4.968, -13.717, 4.132, -0.211,
9.412, -16.501, -38.010, 4.933, -14.627, 3.824, -0.215,
9.570, -18.940, -37.464, 4.898, -15.448, 3.458, -0.218,
9.722, -21.397, -37.002, 4.866, -16.173, 3.040, -0.213,
9.869, -23.867, -36.620, 4.835, -16.802, 2.600, -0.208,
10.012, -26.348, -36.313, 4.807, -17.336, 2.143, -0.196,
10.152, -28.837, -36.076, 4.782, -17.786, 1.694, -0.183,
10.290, -31.331, -35.903, 4.759, -18.163, 1.262, -0.167,
10.425, -33.828, -35.787, 4.739, -18.479, 0.859, -0.149,
10.558, -36.327, -35.721, 4.722, -18.744, 0.493, -0.129,
10.691, -38.827, -35.698, 4.707, -18.835, 0.172, -0.108,
10.824, -41.327, -35.711, 4.696, -18.758, -0.097, -0.086,
10.958, -43.826, -35.753, 4.688, -18.669, -0.312, -0.060,
11.092, -46.326, -35.815, 4.683, -18.579, -0.460, -0.032,
11.228, -48.824, -35.887, 4.682, -18.497, -0.536, -0.010,
11.271, -51.323, -35.963, 4.684, -57.993, -1.763, 0.048,
11.314, -53.822, -36.034, 4.689, -57.792, -1.639, 0.120,
11.357, -56.322, -36.092, 4.696, -57.595, -1.334, 0.146,
11.559, -58.360, -36.126, 4.158, -10.088, -0.169, -2.660,
